Name,Degree Type,Years of Experience,Speciality,Location,City,DP Score,NPV,Consult Fee
Dr. Inder Preet Singh,BDS,27,Dentist,Paschim Vihar,Delhi,97,460,500
Dr. Neera Kumar,BDS,29,Dentist,CR Park,Delhi,96,23,500
Dr. Davinder Pal Singh,BDS,21,Dentist,Mukherjee Nagar,Delhi,98,161,400
Dr. Prachi Kohli,MDS,15,Dentist,Kamla Nagar,Delhi,100,67,300
Dr. Niraj Rampal,BDS,47,Dentist,Greater Kailash Part 2,Delhi,100,36,1500
Dr. Prof. Suraj R Suvarna,BDS,24,Dentist,Sheikh Sarai,Delhi,99,306,300
Dr. Natalia Desilva,BDS,18,Dentist,Greater Kailash Part 1,Delhi,99,150,750
Dr. Geeta Kalra,BDS,24,Dentist,Lajpat Nagar,Delhi,93,214,700
Dr. Prashant Ojha,MDS,18,Dentist,Saket,Delhi,92,195,300
Dr. Neha Singhal,BDS,17,Dentist,Kingsway Camp,Delhi,99,68,200
Dr. Parul Gupta,BDS,22,Dentist,Karol Bagh,Delhi,97,298,600
Dr. Harveen Nakra,BDS,24,Dentist,Punjabi Bagh,Delhi,100,246,500
Dr. Kamal Gandhi,BDS,28,Dentist,Vasant Vihar,Delhi,98,394,800
Dr. Jyoti Ahlawat,BDS,16,Dentist,Vasundhra Enclave,Delhi,99,215,500
Dr. Vishal Arya,BDS,26,Dentist,Pitampura,Delhi,98,274,500
Dr. Mansi Arora,MDS,19,Dentist,Paschim Vihar,Delhi,99,319,500
Dr. Rahul Kamra,BDS,28,Dentist,Vikas Puri,Delhi,98,214,500
Dr. Archana Arora,BDS,24,Dentist,Vikas Puri,Delhi,96,235,500
Dr. Kapil Gandhi,BDS,27,Dentist,CR Park,Delhi,98,212,800
Dr. Simran Kataria,BDS,18,Dentist,Saket,Delhi,97,243,300
Dr. Abhishek Arora,BDS,22,Dentist,Malviya Nagar,Delhi,99,1532,500
Dr. Madhumani Kumra,MDS,30,Dentist,Greater Kailash Part 1,Delhi,99,411,750
Dr. Anupam Sinha,BDS,22,Dentist,Greater Kailash Part 1,Delhi,97,412,750
Dr. Gaurav Goel,BDS,24,Dentist,Patparganj,Delhi,97,59,500
Dr. Pankaj Rao,BDS,18,Dentist,Dwarka,Delhi,97,1210,500
Dr. Priya Oberoi,BDS,23,Dentist,Kalkaji,Delhi,97,115,500
Dr. Deepak Punhani,BDS,25,Dentist,Vikas Puri,Delhi,97,582,500
Dr. Simran,MDS,17,Dentist,Paschim Vihar,Delhi,97,230,500
Dr. Surpreet Bhandari,BDS,12,Dentist,Laxmi Nagar,Delhi,99,164,500
Dr. Manak Gupta,BDS,18,Dentist,Dwarka,Delhi,99,615,500
Dr. Nidhi Bansal,BDS,20,Dentist,Pitampura,Delhi,99,215,400
Dr. Swapnil Gupta,BDS,16,Dentist,Alaknanda,Delhi,97,578,300
Dr. Sanjeev K Garg,BDS,30,Dentist,Pitampura,Delhi,98,186,700
Dr. Vidhya Vasanth,BDS,10,Dentist,Jangpura,Delhi,100,23,200
Dr. Shivani Mangal,BDS,13,Dentist,Dwarka Sector 23,Delhi,100,168,300
Dr. Ashish Bansal,BDS,13,Dentist,Pitampura,Delhi,98,62,400
Dr. Priyank Bhandari,BDS,12,Dentist,Laxmi Nagar,Delhi,99,180,500
Dr. Mukul Prabhat,BDS,16,Dentist,Shahdara,Delhi,96,46,375
Dr. Rajeev Aggarwal,BDS,25,Dentist,Vasant Kunj,Delhi,99,451,800
Dr. Shilpa Kalra,BDS,15,Dentist,Dwarka,Delhi,100,54,400
Dr. Rohit Yadav,BDS,12,Dentist,Dwarka Sector 23,Delhi,100,126,300
Dr. Ritu S Bhola,BDS,20,Dentist,Vishnu Garden,Delhi,91,69,500
Dr. Sumit Dubey,BDS,21,Dentist,Lajpat Nagar,Delhi,97,234,500
Dr. Shilpa Bharti,BDS,16,Dentist,Malviya Nagar,Delhi,99,408,500
Dr. Vijay Tanwar,BDS,12,Dentist,Chattarpur,Delhi,98,132,500
Dr. Sarika Solanki,BDS,26,Dentist,Dwarka,Delhi,98,43,600
Dr. Shivani Nivedita,BDS,14,Dentist,Dwarka Sector 22,Delhi,97,70,500
Dr. Srijan Shilpi,BDS,12,Dentist,Saket,Delhi,98,83,300
Dr. Arun Kant,BDS,14,Dentist,Dwarka,Delhi,99,1353,500
Dr. Saurabh Gupta,BDS,30,Dentist,South Extension 2,Delhi,97,316,700
Dr. Amit Kumar Gupta,BDS,22,Dentist,Yamuna Vihar,Delhi,98,582,500
Dr. Pallavi Dhama,BDS,15,Dentist,IP Extension,Delhi,100,83,500
Dr. Neetu Singh,BDS,17,Dentist,Dwarka Sector 7,Delhi,100,123,500
Dr. Naina Chopra,BDS,18,Dentist,Ramesh Nagar,Delhi,100,123,600
Dr. Anita Yadav,BDS,8,Dentist,Lajpat Nagar,Delhi,100,41,300
Dr. Neeti Sharma,BDS,14,Dentist,Katwaria Sarai,Delhi,95,197,350
Dr. Viraj Chopra,BDS,33,Dentist,New Friends Colony,Delhi,99,76,1500
Dr. Aman Sachdev,BDS,13,Dentist,Paschim Vihar,Delhi,100,20,500
Dr. Sumit Aggarwal,BDS,13,Dentist,Kamla Nagar,Delhi,98,154,300
Dr. Vineet Jain,BDS,22,Dentist,Pitampura,Delhi,98,91,500
Dr. Karuna Bector Arora,MDS,13,Dentist,Vasant Vihar,Delhi,100,76,500
Dr. Aval Luthra,BDS,23,Dentist,Vasant Kunj,Delhi,97,159,700
Dr. Ramandeep Singh Chawla,BDS,14,Dentist,Janakpuri,Delhi,100,88,400
Dr. Poonam Dutt,BDS,37,Dentist,Defence Colony,Delhi,97,89,800
Dr. Salil Kochar,BDS,17,Dentist,Lajpat Nagar,Delhi,98,246,500
Dr. Pranshu Tripathi,BDS,14,Dentist,Dwarka Sector 12,Delhi,100,17,500
Dr. Nisha Gupta,BDS,19,Dentist,Yamuna Vihar,Delhi,100,456,500
Dr. Ruchir Chawla,BDS,14,Dentist,Katwaria Sarai,Delhi,97,144,350
Dr. Divij Khanna,BDS,15,Dentist,Saket,Delhi,98,85,500
Dr. Ajay Kumar Singh,BDS,16,Dentist,Dwarka Sector 11,Delhi,100,22,500
Dr. Jasmeet Singh,BDS,16,Dentist,Pahar Ganj,Delhi,95,41,400
Dr. Rajat Sachdeva,BDS,18,Dentist,Ashok Vihar,Delhi,95,658,1000
Dr. Chhavi Bajaj,BDS,8,Dentist,Dwarka Sector 3,Delhi,98,59,350
Dr. Anukriti Bansal Aggarwal,BDS,12,Dentist,Rohini Sector 18,Delhi,100,105,500
Dr. Poonam Yadav,BDS,11,Dentist,Dwarka,Delhi,100,436,500
Dr. Ashna Khanna,BDS,14,Dentist,Saket,Delhi,100,84,500
Dr. Shivesh Mishra,BDS,12,Dentist,Preet Vihar,Delhi,98,46,400
Dr. Manu Modi,BDS,29,Dentist,Ashok Vihar,Delhi,95,1001,1000
Dr. Amandeep Dhillon,MDS,16,Dentist,East Of Kailash,Delhi,99,118,800
Dr. Deepak Nakra,BDS,24,Dentist,Punjabi Bagh,Delhi,98,43,1000
Dr. Jyoti C.Bhasin,BDS,25,Dentist,Vasundhra Enclave,Delhi,99,142,950
Dr. Deepti Rajput,BDS,18,Dentist,Rajouri Garden,Delhi,97,33,669
Dr. Sonam Duggal,MDS,15,Dentist,Uday Park,Delhi,100,30,700
Dr. Vaishali Aggarwal,BDS,14,Dentist,Kamla Nagar,Delhi,93,141,300
Dr. Aakriti Bansal,BDS,10,Dentist,Pitampura,Delhi,100,30,400
Dr. Sony Mishra,BDS,21,Dentist,New Friends Colony,Delhi,97,648,750
Dr. Tushita Singh,BDS,13,Dentist,Dwarka Sector 11,Delhi,99,144,500
Dr. Vidhi Walia Mishra,BDS,11,Dentist,Preet Vihar,Delhi,98,126,400
Dr. Amandeep Singh Arora,MDS,10,Dentist,Vasant Vihar,Delhi,99,241,500
Dr. Poonam Valecha,BDS,24,Dentist,Rohini,Delhi,100,211,500
Dr. Mahima Nanda,MDS,21,Dentist,Malviya Nagar,Delhi,94,164,500
Dr. Major Vipin Kumar,BDS,18,Dentist,Greater Kailash Part 1,Delhi,96,81,700
Dr. Anashwar Bhalla,BDS,15,Dentist,Nizamuddin East,Delhi,100,201,500
Dr. Nikhil,BDS,7,Dentist,Vasant Kunj,Delhi,99,237,500
Dr. Jyoti Anand,BDS,13,Dentist,Paschim Vihar,Delhi,98,107,500
Dr. Seema Kushwaha,BDS,19,Dentist,New Friends Colony,Delhi,100,82,600
Dr. Piyush Malik,BDS,16,Dentist,Dwarka Sector 7,Delhi,100,71,500
Dr. Jasneet Singh,BDS,17,Dentist,Paschim Vihar,Delhi,97,434,600
Dr. Ankur Gupta,MDS,13,Dentist,Dwarka,Delhi,,,300
Dr. Archana Bhardwaj,BDS,19,Dentist,South Extension 1,Delhi,99,144,800
Dr. Ruchir Mishra,BDS,21,Dentist,New Friends Colony,Delhi,97,253,750
Dr. Avantika Sharma,BDS,11,Dentist,Dwarka Sector 12,Delhi,100,31,500
Dr. Meenu,BDS,15,Dentist,Dwarka Sector 9,Delhi,100,48,500
Dr. Aashwiin Miglani,MDS,12,Dentist,Kirti Nagar,Delhi,100,107,500
Dr. Naveen Gupta,BDS,26,Dentist,Karol Bagh,Delhi,95,305,600
Dr. Amit Bhatia,BDS,16,Dentist,Malviya Nagar,Delhi,99,231,500
Dr. Unnati Gupta,BDS,28,Dentist,South Extension 2,Delhi,99,114,700
Dr. Sharad Gupta,BDS,29,Dentist,Hari Nagar,Delhi,98,237,500
Dr. Shrey Dhawan,MDS,13,Dentist,Meera Bagh,Delhi,99,86,300
Dr. Praveen Yadav,BDS,13,Dentist,Uttam Nagar,Delhi,96,24,300
Dr. Vikee Singh,BDS,24,Dentist,Safdarjung Enclave,Delhi,99,273,1500
Dr. Surbhi Anand,BDS,14,Dentist,East Of Kailash,Delhi,99,115,800
Dr. Neha Sachdeva,BDS,14,Dentist,Greater Kailash Part 2,Delhi,99,75,800
Dr. Ravneet Kaur,BDS,15,Dentist,Vasant Vihar,Delhi,99,112,1000
Dr. Sandeep Gulati,BDS,26,Dentist,Rajouri Garden,Delhi,100,28,500
Dr. Ajay Arora,BDS,32,Dentist,Patparganj,Delhi,,,500
Dr. Shikha Sharma,BDS,27,Dentist,Vasant Kunj,Delhi,98,260,500
Dr. Sanjiv Kalra,BDS,47,Dentist,Defence Colony,Delhi,92,194,1000
Dr. Shivani Gupta,BDS,27,Dentist,Kilokri,Delhi,99,305,1500
Dr. Sanju Lall,BDS,30,Dentist,Pitampura,Delhi,100,50,500
Dr. Nidhi Walia,MDS,11,Dentist,Preet Vihar,Delhi,100,14,400
Dr. Ankur Gupta,BDS,19,Dentist,Vasant Kunj,Delhi,98,58,500
Dr. Surya Prakash Bharadwaj,BDS,19,Dentist,Dwarka,Delhi,98,706,500
Dr. Manav Kalra,MDS,16,Dentist,Defence Colony,Delhi,95,499,1000
Dr. Adosh Lall,MDS,31,Dentist,Pitampura,Delhi,97,192,500
Dr. Sunil Oberoi,MDS,26,Dentist,Kalkaji,Delhi,91,23,550
Dr. Neelam Chawla,BDS,23,Dentist,Saket,Delhi,100,73,300
Dr. Anoop Jain,BDS,16,Dentist,Rohini,Delhi,99,683,300
Dr. Jatin Gambhir,BDS,12,Dentist,Vikas Puri,Delhi,97,32,500
Dr. Ajay Arora,BDS,23,Dentist,Rohini Sector 7,Delhi,96,179,300
Dr. Ankita Kalra,BDS,14,Dentist,Dwarka Sector 7,Delhi,99,78,400
Dr. Sanchi Chhabra,BDS,12,Dentist,Defence Colony,Delhi,99,68,1000
Dr. Sajili Mittal,MDS,26,Dentist,Yojana Vihar,Delhi,,,500
Dr. Kanul Chawla Kapoor,BDS,15,Dentist,Mayur Vihar Ph-II,Delhi,99,101,300
Dr. Sugandh Mehra,BDS,12,Dentist,Punjabi Bagh,Delhi,90,21,600
Dr. Manish Gupta,BDS,30,Dentist,Munirka,Delhi,99,372,1000
Dr. Anil Sharma,BDS,29,Dentist,Munirka,Delhi,98,93,500
Dr. Rajat Yadav,BDS,9,Dentist,Nangloi,Delhi,,,300
Dr. Jitender Dabas,MDS,15,Dentist,Dwarka Sector 6,Delhi,,,500
Dr. Divyangna Chaudhary,BDS,14,Dentist,Vikas Puri,Delhi,85,53,500
Dr. Shruti Goyal,BDS,11,Dentist,Rohini Sector 8,Delhi,98,52,200
Dr. Bhupesh Budhiraja,BDS,28,Dentist,Mayur Vihar Ph-II,Delhi,75,817,800
Dr. Shruti Goel,BDS,13,Dentist,AGCR Enclave,Delhi,100,12,600
Dr. Shilpi Malhotra,BDS,19,Dentist,Dwarka Sector 12,Delhi,95,21,500
Dr. Nikhil Goyal,BDS,13,Dentist,Rohini Sector 8,Delhi,98,46,200
Dr. Ashish Chopra,BDS,22,Dentist,Ramesh Nagar,Delhi,99,131,400
Dr. Swati Bajaj,MDS,13,Dentist,Kamla Nagar,Delhi,,,500
Dr. Kapil Garella,BDS,28,Dentist,Paschim Vihar,Delhi,100,348,500
Dr. Aditi Sachdev,BDS,17,Dentist,Dwarka,Delhi,95,21,500
Dr. Lt.Col. Preeti Tahlan Arora,BDS,23,Dentist,Malviya Nagar,Delhi,100,110,500
Dr. Pankaj Rooprai,BDS,31,Dentist,Dwarka,Delhi,87,30,300
Dr. Mehak Gupta,BDS,15,Dentist,Vasant Kunj,Delhi,100,90,500
Dr. Rudra,BDS,11,Dentist,Vasundhra Enclave,Delhi,100,18,700
Dr. Smruti Miglani,BDS,9,Dentist,Kirti Nagar,Delhi,,,500
Dr. Abhishek Bhardwaj,MDS,18,Dentist,South Extension 1,Delhi,98,159,800
Dr. Abhimanyu Sharma,MDS,16,Dentist,Vasundhra Enclave,Delhi,98,120,500
Dr. Priyanka Jain,BDS,12,Dentist,Rohini Sector 24,Delhi,99,88,200
Dr. Shri Krishna Kabra,BDS,24,Dentist,New Friends Colony,Delhi,,,500
Dr. Gayatri Soin,BDS,24,Dentist,Old Rajendra Nagar,Delhi,98,655,700
Dr. Abhishek Shekhar,BDS,8,Dentist,Uttam Nagar,Delhi,100,66,300
Dr. Eisha Kathuria,BDS,21,Dentist,Tagore Garden,Delhi,96,356,800
Dr. Parineeta Sharma,BDS,12,Dentist,Malviya Nagar,Delhi,100,14,400
Dr. Arvinder Kaur,BDS,14,Dentist,IP Extension,Delhi,100,186,350
Dr. Parul Kohli,BDS,17,Dentist,Gujranwala Town,Delhi,99,141,500
Dr. Pinky K Dhingra,BDS,13,Dentist,Pitampura,Delhi,96,140,400
Dr. Purva Shrivastava,BDS,13,Dentist,Paschim Vihar,Delhi,100,21,500
Dr. Sanneya Manchanda,BDS,11,Dentist,Jangpura,Delhi,100,143,400
Dr. Vishal Sood,BDS,26,Dentist,Mayur Vihar Ph-I,Delhi,99,404,500
Dr. Pooja Jain,BDS,21,Dentist,East Of Kailash,Delhi,100,14,500
Dr. Subhima Bhalla,BDS,13,Dentist,Nizamuddin East,Delhi,100,108,500
Dr. Sanjay Agarwal,BDS,34,Dentist,Green Park,Delhi,,,500
Dr. Pooja Sachdeva,BDS,27,Dentist,Kirti Nagar,Delhi,,,500
Dr. Smita Saraf,BDS,14,Dentist,Pitampura,Delhi,100,32,500
Dr. Sonal,BDS,18,Dentist,Kingsway Camp,Delhi,100,12,500
Dr. Manreet Sidhu,BDS,13,Dentist,Greater Kailash Part 2,Delhi,100,13,1000
Dr. Rachita Mehlawat,MDS,10,Dentist,Dwarka Sector 6,Delhi,98,116,500
Dr. Gagan Khanna,BDS,20,Dentist,Janakpuri,Delhi,100,79,500
Dr. Tarun Kumar Giroti,MDS,27,Dentist,Vasant Vihar,Delhi,99,1208,500
Dr. Preeti Jain Pruthi,BDS,18,Dentist,Krishna Nagar,Delhi,,,300
Dr. Vishal Gupta,BDS,25,Dentist,New Friends Colony,Delhi,99,1052,600
Dr. Mona Modi,BDS,27,Dentist,Ashok Vihar,Delhi,95,200,1000
Dr. Srishti Bhatia,BDS,10,Dentist,Janakpuri,Delhi,98,83,500
Dr. Shamindhi Dhawan,BDS,9,Dentist,Meera Bagh,Delhi,,,300
Dr. Nida Shahab,BDS,8,Dentist,Kalkaji,Delhi,100,33,500
Dr. Aarushi Dogra,BDS,12,Dentist,Dwarka Sector 7,Delhi,100,36,500
Dr. Radhika Goel,BDS,5,Dentist,Vasant Vihar,Delhi,100,25,500
Dr. Sugandha Marwaha,MDS,11,Dentist,Paschim Vihar,Delhi,94,18,500
Dr. Amit Parashar,BDS,16,Dentist,Greater Kailash Part 1,Delhi,,,700
Dr. Alok Singh,BDS,10,Dentist,Mayur Vihar Ph-I,Delhi,,,300
Dr. Simrata Garg,BDS,15,Dentist,Paschim Vihar,Delhi,99,115,500
Dr. Abhishek Mathur,BDS,12,Dentist,Lajpat Nagar,Delhi,,,500
Dr. Renu Bhargava,BDS,27,Dentist,Dwarka,Delhi,,,500
Dr. Neelam Verma,BDS,16,Dentist,Durga Puri,Delhi,,,300
Dr. Anuj Valecha,BDS,23,Dentist,Rohini,Delhi,100,210,500
Dr. Awantika,BDS,3,Dentist,Madangir,Delhi,,,100
Dr. Deepika,BDS,7,Dentist,Madangir,Delhi,,,200
Dr. Lalit Kumar,BDS,19,Dentist,Vikas Puri,Delhi,98,54,500
Dr. Deepti Dhodi,BDS,20,Dentist,Defence Colony,Delhi,,,600
Dr. Shikha Goel,BDS,18,Dentist,Malviya Nagar,Delhi,98,826,500
Dr. Pearl Bhardwaj,BDS,11,Dentist,Model Town 2,Delhi,100,12,400
Dr. Deeksha Sharma,BDS,5,Dentist,Malviya Nagar,Delhi,100,14,300
Dr. Shubhangini Gandhi,BDS,24,Dentist,Green Park,Delhi,98,180,1000
Dr. Vikas Yadav,BDS,13,Dentist,Kapashera,Delhi,88,24,250
Dr. Akshay Verma,BDS,6,Dentist,Pitampura,Delhi,,,500
Dr. Avneesh Kumar,BDS,10,Dentist,Mayur Vihar Ph-I,Delhi,,,500
Dr. Nikhil Dawar,BDS,15,Dentist,Mukherjee Nagar,Delhi,100,214,500
Dr. Ashu Gupta,BDS,28,Dentist,Munirka,Delhi,94,51,1000
Dr. Vishakha Gupta,BDS,21,Dentist,Hari Nagar,Delhi,99,131,500
Dr. Tavleen Kaur,BDS,15,Dentist,Rajouri Garden,Delhi,99,141,500
Dr. Manju Kaushik,BDS,31,Dentist,Lajpat Nagar,Delhi,99,766,500
Dr. Himesh Jain,MDS,17,Dentist,Paschim Vihar,Delhi,,,300
Dr. Preksha Jain,MDS,14,Dentist,Mayur Vihar Ph-I,Delhi,100,49,400
Dr. Mahima Yadav,BDS,8,Dentist,Dwarka Sector 11,Delhi,99,108,500
Dr. Suprriya B Bhatia,BDS,25,Dentist,New Friends Colony,Delhi,,,800
Dr. Jinal Katira,BDS,9,Dentist,Dwarka Sector 19,Delhi,100,15,300
Dr. Siddhartha Pujari,BDS,22,Dentist,Greater Kailash Part 2,Delhi,100,216,700
Dr. Anup Razdan,BDS,31,Dentist,Chanakyapuri,Delhi,,,1500
Dr. Sheetal,BDS,26,Dentist,Vasant Kunj,Delhi,,,1000
Dr. Divyesh Mehta,MDS,13,Dentist,Vikas Puri,Delhi,,,500
Dr. Nitin Garg,BDS,6,Dentist,Shalimar Bagh,Delhi,,,600
Dr. Dolly Gupta,BDS,11,Dentist,Defence Colony,Delhi,100,37,800
Dr. Raju Sharma,BDS,16,Dentist,Dwarka Sector 5,Delhi,,,500
Dr. Shreya Krishna,BDS,13,Dentist,Greater Kailash Part 1,Delhi,,,800
Dr. Harsh Priyankar,BDS,18,Dentist,Kingsway Camp,Delhi,100,28,500
Dr. Karan Sarpal,BDS,6,Dentist,Madangir,Delhi,,,200
Dr. Sonali Yadav,BDS,5,Dentist,Saket,Delhi,100,18,500
Dr. Deepak Chopra,MDS,19,Dentist,Rohini Sector 5,Delhi,,,200
Dr. Anjali Deswal,BDS,4,Dentist,Rohini Sector 16,Delhi,,,350
Dr. Ejya Mathur,BDS,12,Dentist,Lajpat Nagar,Delhi,,,500
Dr. Plessy Thomas,BDS,8,Dentist,Greater Kailash Part 1,Delhi,,,750
Dr. M.M. Naiyer,BDS,10,Dentist,Panchsheel Park,Delhi,98,52,500
Dr. Divyangana Madaan Ahuja,MDS,8,Dentist,Safdarjung Enclave,Delhi,100,31,500
Dr. Sreenita Chowdhury,BDS,16,Dentist,Greater Kailash Part 2,Delhi,99,168,700
Dr. Priyanka,BDS,19,Dentist,Jangpura,Delhi,,,200
Dr. Renu Sharma,BDS,12,Dentist,Dilshad Garden,Delhi,100,11,600
Dr. Ravi Dahiya,BDS,14,Dentist,Rohini Sector 15,Delhi,100,11,500
Dr. Jitender Dahiya,BDS,11,Dentist,Hari Nagar,Delhi,,,400
Dr. Akanksha Monga,BDS,12,Dentist,Shahdara,Delhi,,,500
Dr. Divya Nigam,MDS,15,Dentist,Lajpat Nagar,Delhi,97,116,500
Dr. Nidhi Saini,BDS,13,Dentist,Karkardooma,Delhi,,,300
Dr. Komal Yadav,BDS,9,Dentist,Dwarka Sector 11,Delhi,,,400
Dr. Shipra Jain,BDS,12,Dentist,Shalimar Bagh,Delhi,90,29,600
Dr. Shiva Sharma,BDS,13,Dentist,Saket,Delhi,,,600
Dr. Ashutosh Kumar,BDS,16,Dentist,Dwarka Sector 19,Delhi,,,500
Dr. Jaya Sharma,BDS,7,Dentist,Vikas Puri,Delhi,87,15,300
Dr. Ankita bhardwaj,BDS,7,Dentist,Greater Kailash,Delhi,,,0
Dr. Tania Nijhawan,BDS,14,Dentist,Vasant Vihar,Delhi,100,12,700
Dr. Jaiveer Yadav,MDS,12,Dentist,Dwarka Sector 11,Delhi,,,400
Dr. Urvashi Rooprai,BDS,26,Dentist,Dwarka,Delhi,,,500
Dr. Shriyam Sharan,BDS,12,Dentist,Panchsheel Park,Delhi,,,500
Dr. Kartik Datta,MDS,12,Dentist,South Extension 2,Delhi,100,51,500
Dr. Priti Agarwal,BDS,30,Dentist,Green Park,Delhi,,,500
Dr. Ajay Sharma,BDS,31,Dentist,Saket,Delhi,,,1000
Dr. Tanvi Paliwal,BDS,12,Dentist,Saket,Delhi,,,1000
Dr. Minakshi Mukherjee,BDS,9,Dentist,Green Park,Delhi,,,0
Dr. Amit Kumar,BDS,12,Dentist,East Of Kailash,Delhi,,,500
Dr. Sherien Hussain,BDS,3,Dentist,New Friends Colony,Delhi,100,18,300
Dr. Priyanka Kashyap,BDS,4,Dentist,Green Park,Delhi,,,0
Dr. Aman Sharma,BDS,6,Dentist,Pitampura,Delhi,,,0
Dr. Aakanksha Chugh,BDS,6,Dentist,Paschim Vihar,Delhi,,,0
Dr. Anurag Mallik,BDS,3,Dentist,Green Park,Delhi,,,0
Dr. Mansi Khatri,MDS,12,Dentist,South Extension 2,Delhi,100,12,500
Dr. Mayank Ahuja,BDS,7,Dentist,Safdarjung Enclave,Delhi,,,500
Dr. Lanka Mahesh,BDS,28,Dentist,Saket,Delhi,,,1000
Dr. Pragya Chand,BDS,13,Dentist,South Extension 2,Delhi,,,700
Dr. Garima Singhal,BDS,13,Dentist,Rohini,Delhi,,,500
Dr. Deepika,BDS,12,Dentist,Pitampura,Delhi,,,500
Dr. Vipul Sagu,BDS,11,Dentist,Pitampura,Delhi,,,500
Dr. Bavneet Kaur,MDS,4,Dentist,Ashok Vihar,Delhi,,,1000
Dr. Hardeep Singh Barak,BDS,6,Dentist,Chattarpur,Delhi,,,400
Dr. Nitish,BDS,7,Dentist,Rohini Sector 15,Delhi,,,500
Dr. Shreya Gulati,BDS,8,Dentist,Rajouri Garden,Delhi,,,500
Dr. Akshay Bhargava,BDS,29,Dentist,Dwarka,Delhi,,,800
Dr. Priyanka Bhat,BDS,11,Dentist,Panchsheel Park,Delhi,,,1000
Dr. Ritika Grover,BDS,12,Dentist,Shakti Nagar,Delhi,,,500
Dr. Subi Singh,BDS,5,Dentist,Greater Kailash Part 1,Delhi,,,500
Dr. Sarveshwari Singh,BDS,8,Dentist,Panchsheel Park,Delhi,,,1000
Dr. Aditi Malhotra,BDS,4,Dentist,Panchsheel Park,Delhi,,,1000
Dr. Madhur Sharma,BDS,8,Dentist,Lajpat Nagar,Delhi,,,0
Dr. Attiya Rahman,BDS,3,Dentist,Lajpat Nagar,Delhi,,,0
Dr. Zara Dhawan,BDS,3,Dentist,Saket,Delhi,,,1000
Dr. Mridu S. Shahi,BDS,6,Dentist,Vikas Puri,Delhi,,,500
Dr. Saroj Kumari Sheoran,MDS,11,Dentist,Punjabi Bagh,Delhi,,,1000
Dr. Archi,BDS,17,Dentist,Ashok Vihar,Delhi,97,404,300
Dr. Kamal Batra,BDS,18,Dentist,Paschim Vihar,Delhi,99,268,500
Dr. Abhinav Gupta,BDS,21,Dentist,Vijaynagar,Delhi,98,669,500
Dr. Prashant Nanda,BDS,16,Dentist,Defence Colony,Delhi,99,644,1000
Dr. Avinash Singh,BDS,16,Dentist,Uttam Nagar,Delhi,,,300
Dr. Rajat Mathur,BDS,24,Dentist,Jagriti Enclave,Delhi,99,534,500
Dr. Amogh Tanwar,BDS,18,Dentist,Janakpuri,Delhi,99,345,800
